postmortem_file,chunk_count,mean_high_drift_probability,median_high_drift_probability,max_high_drift_probability,min_high_drift_probability,high_drift_chunk_share,severe_drift_chunk_share,likely_postmortem_drift_level,merge_id,document_id,source_url,gpt_score,claude_score,consensus_score,weighted_score,max_score,weighted_pct,predicted_manual_score,residual
rust_dns_2023.txt,5,0.5492366245836688,0.5526348376545058,0.5937122868897414,0.5079370203599539,1.0,0.0,mixed,rust_dns_2023,rust_dns_2023,https://blog.rust-lang.org/inside-rust/2023/02/08/dns-outage-portmortem/,9,10,8,8.75,13,0.6730769230769231,0.745484876186282,-0.07240795310935888
anthropic_2026_claude_code.txt,16,0.516063958557755,0.5190631442162301,0.5474350779395487,0.4738216024395366,0.75,0.0,mixed,anthropic_2026_claude_code,anthropic_2026_claude_code,https://www.anthropic.com/engineering/april-23-postmortem,9,9,5,7.0,13,0.5384615384615384,0.7748490681698335,-0.23638752970829502
roblox_2021.txt,45,0.504862998461859,0.5089759196287108,0.5501431013184402,0.4398670868138938,0.6,0.0,mixed,roblox_2021,roblox_2021,https://about.roblox.com/newsroom/2022/01/roblox-return-to-service-10-28-10-31-2021,13,13,13,13.0,13,1.0,0.7847640729632092,0.21523592703679084
heroku_2020_git_push.txt,9,0.5029310350806967,0.5096613264239241,0.5301589837111632,0.4710755954819297,0.6666666666666666,0.0,mixed,heroku_2020_git_push,heroku_2020_git_push,https://www.heroku.com/blog/how-i-broke-git-push-heroku-main/,7,6,8,7.25,13,0.5576923076923077,0.7864742322728445,-0.2287819245805368
stack_exchange_2014.txt,5,0.5018409251911932,0.4997563365450195,0.5393848717245914,0.4417480726162255,0.4,0.0,mixed,stack_exchange_2014,stack_exchange_2014,https://web.archive.org/web/20201020103424/https://stackstatus.net/post/96025967369/outage-post-mortem-august-25th-2014,9,8,8,8.25,13,0.6346153846153846,0.7874391892664592,-0.1528238046510746
atlassian_2022_april_outage.txt,68,0.5017981212251482,0.5011265253959474,0.5647687611282286,0.432081366419196,0.5147058823529411,0.0,mixed,atlassian_2022_april_outage,atlassian_2022_april_outage,https://www.atlassian.com/blog/atlassian-engineering/post-incident-review-april-2022-outage,13,13,13,13.0,13,1.0,0.7874770790120593,0.21252292098794068
gitlab_database_2017.txt,35,0.5008986363067516,0.4992631383127538,0.5581874043180303,0.4502277497768469,0.4857142857142857,0.0,mixed,gitlab_database_2017,gitlab_database_2017,https://about.gitlab.com/blog/postmortem-of-database-outage-of-january-31/,13,13,13,13.0,13,1.0,0.7882732962292549,0.2117267037707451
mozilla_firefox_2022.txt,13,0.4917246275846472,0.4898708371873713,0.5518238698705067,0.42853198706719,0.3076923076923077,0.0,mixed,mozilla_firefox_2022,mozilla_firefox_2022,https://web.archive.org/web/20250314111052/https://hacks.mozilla.org/2022/02/retrospective-and-technical-details-on-the-recent-firefox-outage/,11,8,9,9.25,13,0.7115384615384616,0.7963940590634572,-0.08485559752499561
aws_s3_2008.txt,7,0.4917049493158278,0.5030078340746631,0.5254331813931854,0.4398510821127593,0.7142857142857143,0.0,mixed,aws_s3_2008,aws_s3_2008,https://web.archive.org/web/20220403060108/https://status.aws.amazon.com/s3-20080720.html,11,11,10,10.5,13,0.8076923076923077,0.7964114781175382,0.011280829574769502
eve_boot_ini_2007.txt,10,0.4829914579463796,0.4781744975718111,0.5261041656904236,0.4450938414029969,0.3,0.0,mixed,eve_boot_ini_2007,eve_boot_ini_2007,https://www.eveonline.com/news/view/about-the-boot.ini-issue,13,12,13,12.75,13,0.9807692307692308,0.804124594489301,0.17664463627992988
cloudflare_2019.txt,40,0.4811983080156224,0.4804302153908744,0.5643787792100929,0.4242737822491222,0.3,0.0,mixed,cloudflare_2019,cloudflare_2019,https://blog.cloudflare.com/details-of-the-cloudflare-outage-on-july-2-2019/,13,11,13,12.5,13,0.9615384615384616,0.8057118771870773,0.1558265843513843
discord_connectivity_2017.txt,10,0.4777207027759867,0.4754634153745538,0.5035754237842015,0.449676080746354,0.2,0.0,mixed,discord_connectivity_2017,discord_connectivity_2017,https://discordstatus.com/incidents/dj3l6lw926kl,13,13,13,13.0,13,1.0,0.8087902269289973,0.19120977307100273
azure_storage_2014.txt,11,0.4750315817148833,0.4814714187356537,0.5049803994467171,0.42192028233695,0.1818181818181818,0.0,mixed,azure_storage_2014,azure_storage_2014,https://azure.microsoft.com/en-us/blog/update-on-azure-storage-service-interruption/,12,11,12,11.75,13,0.903846153846154,0.8111706164654778,0.09267553738067613
lkml_leapsecond_futex_2012.txt,5,0.462298000759678,0.4592290794775369,0.4817785674052647,0.4511400626228437,0.0,0.0,mixed,lkml_leapsecond_futex_2012,lkml_leapsecond_futex_2012,https://web.archive.org/web/20220320100036/https://lkml.org/lkml/2012/7/1/203,6,4,5,5.0,13,0.3846153846153846,0.8224422856015867,-0.43782690098620214
github_ddos_2018.txt,7,0.4613629661634641,0.4423789879656299,0.5107584098227717,0.4256914012679537,0.2857142857142857,0.0,mixed,github_ddos_2018,github_ddos_2018,https://github.blog/news-insights/company-news/ddos-incident-report/,11,9,10,10.0,13,0.7692307692307693,0.8232699711235475,-0.05403920189277822
